tag-id,animal-id,animal-taxon,deploy-on-date,animal-life-stage,animal-reproductive-condition,attachment-type,deploy-on-latitude,deploy-on-longitude,duty-cycle,manipulation-type,study-site,tag-manufacturer-name,tag-model,tag-readout-method
90494,90494,Thalassarche chrysostoma,2013-01-11 00:00:00.000,adult,incubating,tape,-52.474,169.224,1 fix every 5 min,none,Campbell Island,igotU,GT-600,tag-retrieval
1,1,Thalassarche chrysostoma,2013-10-13 14:20:00.000,adult,incubating,tape,-52.474,169.224,1 fix every 5 min,none,Campbell Island,igotU,GT-600,tag-retrieval
2,2,Thalassarche chrysostoma,2013-10-13 17:06:00.000,adult,incubating,tape,-52.474,169.224,1 fix every 5 min,none,Campbell Island,igotU,GT-600,tag-retrieval
90434,90434,Thalassarche chrysostoma,2013-10-13 17:56:00.000,adult,incubating,tape,-52.474,169.224,1 fix every 5 min,none,Campbell Island,igotU,GT-600,tag-retrieval
62093,62093,Thalassarche chrysostoma,2013-10-14 10:07:00.000,adult,incubating,tape,-52.474,169.224,1 fix every 5 min,none,Campbell Island,igotU,GT-600,tag-retrieval
23059,23059,Thalassarche chrysostoma,2013-10-14 14:35:00.000,adult,incubating,tape,-52.474,169.224,1 fix every 5 min,none,Campbell Island,igotU,GT-600,tag-retrieval
90468,90468,Thalassarche chrysostoma,2013-10-14 19:12:00.000,adult,incubating,tape,-52.474,169.224,1 fix every 5 min,none,Campbell Island,igotU,GT-600,tag-retrieval
89570,89570,Thalassarche chrysostoma,2013-10-15 13:46:00.000,adult,incubating,tape,-52.474,169.224,1 fix every 5 min,none,Campbell Island,igotU,GT-600,tag-retrieval
29155,29155,Thalassarche chrysostoma,2013-10-18 11:11:00.000,adult,incubating,tape,-52.474,169.224,1 fix every 5 min,none,Campbell Island,igotU,GT-600,tag-retrieval
90282,90282,Thalassarche chrysostoma,2013-10-18 13:24:00.000,adult,incubating,tape,-52.474,169.224,1 fix every 5 min,none,Campbell Island,igotU,GT-600,tag-retrieval
89518,89518,Thalassarche chrysostoma,2013-10-26 15:46:00.000,adult,incubating,tape,-52.474,169.224,1 fix every 5 min,none,Campbell Island,igotU,GT-600,tag-retrieval
58565,58565,Thalassarche chrysostoma,2013-10-26 16:46:00.000,adult,incubating,tape,-52.474,169.224,1 fix every 5 min,none,Campbell Island,igotU,GT-600,tag-retrieval
90287,90287,Thalassarche chrysostoma,2013-10-28 10:18:00.000,adult,incubating,tape,-52.474,169.224,1 fix every 5 min,none,Campbell Island,igotU,GT-600,tag-retrieval
90420,90420,Thalassarche chrysostoma,2013-10-31 09:07:00.000,adult,incubating,tape,-52.474,169.224,1 fix every 5 min,none,Campbell Island,igotU,GT-600,tag-retrieval
23058,23058,Thalassarche chrysostoma,2013-11-08 10:21:00.000,adult,incubating,tape,-52.474,169.224,1 fix every 5 min,none,Campbell Island,igotU,GT-600,tag-retrieval
23096,23096,Thalassarche chrysostoma,2013-11-09 17:05:00.000,adult,incubating,tape,-52.474,169.224,1 fix every 5 min,none,Campbell Island,igotU,GT-600,tag-retrieval
90407,90407,Thalassarche chrysostoma,2013-11-10 12:48:00.000,adult,incubating,tape,-52.474,169.224,1 fix every 5 min,none,Campbell Island,igotU,GT-600,tag-retrieval
23782,23782,Thalassarche chrysostoma,2013-11-10 13:15:00.000,adult,incubating,tape,-52.474,169.224,1 fix every 5 min,none,Campbell Island,igotU,GT-600,tag-retrieval
82589,82589,Thalassarche chrysostoma,2013-11-13 16:52:00.000,adult,incubating,tape,-52.474,169.224,1 fix every 5 min,none,Campbell Island,igotU,GT-600,tag-retrieval
90590,90590,Thalassarche chrysostoma,2013-11-16 19:18:00.000,adult,incubating,tape,-52.474,169.224,1 fix every 5 min,none,Campbell Island,igotU,GT-600,tag-retrieval
49364,49364,Thalassarche chrysostoma,2013-11-18 20:37:00.000,adult,incubating,tape,-52.474,169.224,1 fix every 5 min,none,Campbell Island,igotU,GT-600,tag-retrieval
61696,61696,Thalassarche chrysostoma,2013-11-23 13:38:00.000,adult,incubating,tape,-52.474,169.224,1 fix every 5 min,none,Campbell Island,igotU,GT-600,tag-retrieval
90493,90493,Thalassarche chrysostoma,2013-11-23 15:50:00.000,adult,incubating,tape,-52.474,169.224,1 fix every 5 min,none,Campbell Island,igotU,GT-600,tag-retrieval
41269,41269,Thalassarche chrysostoma,2013-11-26 13:18:00.000,adult,incubating,tape,-52.474,169.224,1 fix every 5 min,none,Campbell Island,igotU,GT-600,tag-retrieval
